city1,city2,Year,quarter,fare
"Minneapolis/St. Paul, MN","Seattle, WA",2023,2,282.22
"Los Angeles, CA (Metropolitan Area)","Reno, NV",2023,2,159.58
"Denver, CO","Detroit, MI",2023,2,234.62
"Salt Lake City, UT","Seattle, WA",2023,2,235.71
"Phoenix, AZ","Sacramento, CA",2023,2,219.09
"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",2023,2,145.65
"Charlotte, NC","Denver, CO",2023,2,218.06
"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",2023,2,235.8
"Austin, TX","Miami, FL (Metropolitan Area)",2023,2,214.4
"Houston, TX","Seattle, WA",2023,2,335.35
"Chicago, IL","Kansas City, MO",2023,2,207.93
"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2023,2,319.21
"Cleveland, OH (Metropolitan Area)","Miami, FL (Metropolitan Area)",2023,2,171.44
"San Antonio, TX","Washington, DC (Metropolitan Area)",2023,2,271.74
"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL",2023,2,223.41
"Las Vegas, NV","Reno, NV",2023,2,169.67
"Houston, TX","Philadelphia, PA",2023,2,244.74
"Detroit, MI","Houston, TX",2023,2,227.41
"Fort Myers, FL","Minneapolis/St. Paul, MN",2023,2,217.88
"Miami, FL (Metropolitan Area)","Phoenix, AZ",2023,2,316.02
"Miami, FL (Metropolitan Area)","Seattle, WA",2023,2,335.2
"Minneapolis/St. Paul, MN","Tampa, FL (Metropolitan Area)",2023,2,229.29
"Charlotte, NC","Orlando, FL",2023,2,187.14
"Dallas/Fort Worth, TX","Kansas City, MO",2023,2,206.25
"New York City, NY (Metropolitan Area)","San Antonio, TX",2023,2,261.79
"Boise, ID","Los Angeles, CA (Metropolitan Area)",2023,2,192.16
"Kansas City, MO","Washington, DC (Metropolitan Area)",2023,2,247.85
"Miami, FL (Metropolitan Area)","Minneapolis/St. Paul, MN",2023,2,260.24
"Atlanta, GA (Metropolitan Area)","New Orleans, LA",2023,2,179.13
"Charlotte, NC","Las Vegas, NV",2023,2,274.66
"Fort Myers, FL","Washington, DC (Metropolitan Area)",2023,2,197.97
"Atlanta, GA (Metropolitan Area)","Austin, TX",2023,2,239.23
"Dallas/Fort Worth, TX","St. Louis, MO",2023,2,221.16
"Las Vegas, NV","Salt Lake City, UT",2023,2,154.83
"Salt Lake City, UT","Washington, DC (Metropolitan Area)",2023,2,371.13
"Las Vegas, NV","San Antonio, TX",2023,2,185.6
"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",2023,2,151.18
"Austin, TX","Seattle, WA",2023,2,299.71
"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",2023,2,299.95
"Charleston, SC","Washington, DC (Metropolitan Area)",2023,2,213.2
"Detroit, MI","San Francisco, CA (Metropolitan Area)",2023,2,371.13
"Las Vegas, NV","Tampa, FL (Metropolitan Area)",2023,2,214.47
"Nashville, TN","Philadelphia, PA",2023,2,215.34
"Chicago, IL","Portland, OR",2023,2,312.46
"Denver, CO","St. Louis, MO",2023,2,202.21
"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",2023,2,193.58
"Houston, TX","Nashville, TN",2023,2,230.96
"Philadelphia, PA","Phoenix, AZ",2023,2,370.19
"Indianapolis, IN","Washington, DC (Metropolitan Area)",2023,2,226.67
"Chicago, IL","Cleveland, OH (Metropolitan Area)",2023,2,200.3
"Nashville, TN","Tampa, FL (Metropolitan Area)",2023,2,170.67
"Denver, CO","Kansas City, MO",2023,2,190.47
"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",2023,2,371.13
"Dallas/Fort Worth, TX","Raleigh/Durham, NC",2023,2,258.0
"Buffalo, NY","Orlando, FL",2023,2,178.84
"Austin, TX","Phoenix, AZ",2023,2,235.62
"Cleveland, OH (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2023,2,140.98
"Boston, MA (Metropolitan Area)","Charleston, SC",2023,2,228.1
"Las Vegas, NV","St. Louis, MO",2023,2,212.79
"Charlotte, NC","Philadelphia, PA",2023,2,215.45
"Las Vegas, NV","Nashville, TN",2023,2,243.91
"Milwaukee, WI","Orlando, FL",2023,2,194.45
"Cincinnati, OH","Orlando, FL",2023,2,175.18
"New Orleans, LA","Orlando, FL",2023,2,167.05
"Dallas/Fort Worth, TX","San Antonio, TX",2023,2,215.9
"Nashville, TN","Phoenix, AZ",2023,2,288.41
"Salt Lake City, UT","San Diego, CA",2023,2,216.15
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",2023,2,206.24
"Denver, CO","Sacramento, CA",2023,2,221.75
"Houston, TX","San Diego, CA",2023,2,285.22
"Austin, TX","San Diego, CA",2023,2,212.38
"Charlotte, NC","Houston, TX",2023,2,221.91
"Cleveland, OH (Metropolitan Area)","Las Vegas, NV",2023,2,194.79
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",2023,2,205.65
"Milwaukee, WI","New York City, NY (Metropolitan Area)",2023,2,218.24
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",2023,2,203.36
"Indianapolis, IN","Los Angeles, CA (Metropolitan Area)",2023,2,315.82
"Detroit, MI","Fort Myers, FL",2023,2,229.1
"Chicago, IL","Detroit, MI",2023,2,209.74
"Boston, MA (Metropolitan Area)","New Orleans, LA",2023,2,238.42
"Cincinnati, OH","Tampa, FL (Metropolitan Area)",2023,2,148.26
"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2023,2,286.21
"Denver, CO","Raleigh/Durham, NC",2023,2,235.33
"Houston, TX","Minneapolis/St. Paul, MN",2023,2,240.9
"Dallas/Fort Worth, TX","Portland, OR",2023,2,294.55
"Boston, MA (Metropolitan Area)","Jacksonville, FL",2023,2,230.83
"Atlanta, GA (Metropolitan Area)","San Diego, CA",2023,2,352.29
"Chicago, IL","Salt Lake City, UT",2023,2,312.69
"Miami, FL (Metropolitan Area)","Pittsburgh, PA",2023,2,204.52
"Kansas City, MO","Phoenix, AZ",2023,2,241.79
"Kansas City, MO","Las Vegas, NV",2023,2,191.41
"Nashville, TN","San Francisco, CA (Metropolitan Area)",2023,2,340.71
"Palm Springs, CA","San Francisco, CA (Metropolitan Area)",2023,2,202.74
"Cincinnati, OH","Miami, FL (Metropolitan Area)",2023,2,201.27
"Indianapolis, IN","Las Vegas, NV",2023,2,217.88
"Boston, MA (Metropolitan Area)","Salt Lake City, UT",2023,2,341.08
"Denver, CO","Indianapolis, IN",2023,2,221.12
"Cincinnati, OH","Denver, CO",2023,2,175.57
"Houston, TX","Tampa, FL (Metropolitan Area)",2023,2,222.76
"Boise, ID","Seattle, WA",2023,2,166.33
"Minneapolis/St. Paul, MN","Nashville, TN",2023,2,224.78
"Columbus, OH","Miami, FL (Metropolitan Area)",2023,2,191.96
"Atlanta, GA (Metropolitan Area)","Hartford, CT",2023,2,215.23
"Chicago, IL","San Antonio, TX",2023,2,257.24
"Portland, OR","Washington, DC (Metropolitan Area)",2023,2,371.13
"Indianapolis, IN","Tampa, FL (Metropolitan Area)",2023,2,183.48
"Denver, CO","San Antonio, TX",2023,2,191.08
"Minneapolis/St. Paul, MN","San Diego, CA",2023,2,292.8
"Atlanta, GA (Metropolitan Area)","St. Louis, MO",2023,2,204.13
"Indianapolis, IN","Miami, FL (Metropolitan Area)",2023,2,228.32
"Chicago, IL","Columbus, OH",2023,2,203.94
"Denver, CO","New Orleans, LA",2023,2,228.38
"Raleigh/Durham, NC","San Francisco, CA (Metropolitan Area)",2023,2,365.59
"Dallas/Fort Worth, TX","Indianapolis, IN",2023,2,259.41
"Portland, OR","Sacramento, CA",2023,2,173.13
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2023,2,169.22
"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",2023,2,186.74
"Philadelphia, PA","West Palm Beach/Palm Beach, FL",2023,2,230.52
"Raleigh/Durham, NC","Tampa, FL (Metropolitan Area)",2023,2,157.08
"Detroit, MI","Seattle, WA",2023,2,339.64
"Orlando, FL","San Diego, CA",2023,2,269.35
"Kansas City, MO","Orlando, FL",2023,2,210.51
"Phoenix, AZ","St. Louis, MO",2023,2,271.68
"Columbus, OH","Washington, DC (Metropolitan Area)",2023,2,188.24
"Chicago, IL","Pittsburgh, PA",2023,2,206.7
"Cincinnati, OH","Washington, DC (Metropolitan Area)",2023,2,186.15
"Las Vegas, NV","Raleigh/Durham, NC",2023,2,262.38
"Los Angeles, CA (Metropolitan Area)","Spokane, WA",2023,2,219.31
"Atlanta, GA (Metropolitan Area)","Kansas City, MO",2023,2,229.35
"Miami, FL (Metropolitan Area)","Salt Lake City, UT",2023,2,300.54
"Hartford, CT","Tampa, FL (Metropolitan Area)",2023,2,187.86
"Columbus, OH","Los Angeles, CA (Metropolitan Area)",2023,2,269.76
"Dallas/Fort Worth, TX","El Paso, TX",2023,2,218.64
"Nashville, TN","Seattle, WA",2023,2,363.39
"Seattle, WA","Spokane, WA",2023,2,171.53
"Detroit, MI","Minneapolis/St. Paul, MN",2023,2,225.91
"Atlanta, GA (Metropolitan Area)","San Antonio, TX",2023,2,220.76
"Cincinnati, OH","Las Vegas, NV",2023,2,201.14
"New York City, NY (Metropolitan Area)","Sacramento, CA",2023,2,314.25
"Atlanta, GA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2023,2,201.57
"Atlanta, GA (Metropolitan Area)","Indianapolis, IN",2023,2,202.2
"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",2023,2,195.41
"Los Angeles, CA (Metropolitan Area)","Pittsburgh, PA",2023,2,290.31
"Miami, FL (Metropolitan Area)","San Diego, CA",2023,2,307.68
"Orlando, FL","San Antonio, TX",2023,2,192.36
"Detroit, MI","Nashville, TN",2023,2,239.93
"Chicago, IL","St. Louis, MO",2023,2,215.22
"Charlotte, NC","Phoenix, AZ",2023,2,366.07
"Atlanta, GA (Metropolitan Area)","Salt Lake City, UT",2023,2,371.13
"Seattle, WA","Tampa, FL (Metropolitan Area)",2023,2,339.06
"Austin, TX","Detroit, MI",2023,2,202.57
"Austin, TX","Nashville, TN",2023,2,203.12
"Philadelphia, PA","Seattle, WA",2023,2,369.96
"Detroit, MI","Philadelphia, PA",2023,2,207.31
"Hartford, CT","Miami, FL (Metropolitan Area)",2023,2,218.96
"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2023,2,173.72
"Houston, TX","St. Louis, MO",2023,2,231.26
"Atlanta, GA (Metropolitan Area)","Richmond, VA",2023,2,204.85
"Indianapolis, IN","Phoenix, AZ",2023,2,281.61
"New Orleans, LA","San Francisco, CA (Metropolitan Area)",2023,2,331.16
"New York City, NY (Metropolitan Area)","Richmond, VA",2023,2,197.35
"Houston, TX","Midland/Odessa, TX",2023,2,264.13
"Columbus, OH","Dallas/Fort Worth, TX",2023,2,258.98
"Austin, TX","Dallas/Fort Worth, TX",2023,2,178.43
"Hartford, CT","Washington, DC (Metropolitan Area)",2023,2,215.16
"Phoenix, AZ","Tampa, FL (Metropolitan Area)",2023,2,280.5
"Cincinnati, OH","Los Angeles, CA (Metropolitan Area)",2023,2,300.51
"New York City, NY (Metropolitan Area)","Rochester, NY",2023,2,159.67
"Cleveland, OH (Metropolitan Area)","Denver, CO",2023,2,228.29
"Houston, TX","Salt Lake City, UT",2023,2,293.31
"Dallas/Fort Worth, TX","Sacramento, CA",2023,2,323.52
"Charlotte, NC","Nashville, TN",2023,2,202.27
"Sarasota/Bradenton, FL","Washington, DC (Metropolitan Area)",2023,2,206.79
"Palm Springs, CA","Seattle, WA",2023,2,250.08
"Atlanta, GA (Metropolitan Area)","Columbus, OH",2023,2,197.21
"Milwaukee, WI","Washington, DC (Metropolitan Area)",2023,2,206.61
"Miami, FL (Metropolitan Area)","Orlando, FL",2023,2,161.48
"Atlanta, GA (Metropolitan Area)","Pittsburgh, PA",2023,2,222.08
"Miami, FL (Metropolitan Area)","St. Louis, MO",2023,2,254.72
"Chicago, IL","Jacksonville, FL",2023,2,253.52
"Greensboro/High Point, NC","New York City, NY (Metropolitan Area)",2023,2,188.45
"Charleston, SC","Chicago, IL",2023,2,235.73
"Boise, ID","San Francisco, CA (Metropolitan Area)",2023,2,186.02
"Boston, MA (Metropolitan Area)","Portland, OR",2023,2,360.33
"Eugene, OR","Los Angeles, CA (Metropolitan Area)",2023,2,157.73
"Dallas/Fort Worth, TX","Pittsburgh, PA",2023,2,272.85
"Portland, OR","Salt Lake City, UT",2023,2,236.44
"El Paso, TX","Los Angeles, CA (Metropolitan Area)",2023,2,213.72
"Las Vegas, NV","Milwaukee, WI",2023,2,214.68
"Cleveland, OH (Metropolitan Area)","Dallas/Fort Worth, TX",2023,2,267.46
"Charlotte, NC","San Francisco, CA (Metropolitan Area)",2023,2,371.13
"Boston, MA (Metropolitan Area)","Richmond, VA",2023,2,201.78
"Cleveland, OH (Metropolitan Area)","Phoenix, AZ",2023,2,239.21
"Fort Myers, FL","Philadelphia, PA",2023,2,224.92
"Las Vegas, NV","New Orleans, LA",2023,2,229.29
"Memphis, TN","New York City, NY (Metropolitan Area)",2023,2,253.11
"Orlando, FL","Richmond, VA",2023,2,161.98
"Boston, MA (Metropolitan Area)","Cincinnati, OH",2023,2,258.63
"Omaha, NE","Phoenix, AZ",2023,2,226.85
"Boston, MA (Metropolitan Area)","Indianapolis, IN",2023,2,268.08
"Chicago, IL","Hartford, CT",2023,2,269.41
"Detroit, MI","San Diego, CA",2023,2,357.74
"Albany, NY","Orlando, FL",2023,2,209.79
"Sacramento, CA","Washington, DC (Metropolitan Area)",2023,2,371.13
"Boston, MA (Metropolitan Area)","St. Louis, MO",2023,2,301.34
"Cleveland, OH (Metropolitan Area)","Fort Myers, FL",2023,2,173.4
"Los Angeles, CA (Metropolitan Area)","Tucson, AZ",2023,2,186.36
"Charlotte, NC","Tampa, FL (Metropolitan Area)",2023,2,238.1
"Chicago, IL","Sacramento, CA",2023,2,338.99
"Savannah, GA","Washington, DC (Metropolitan Area)",2023,2,207.21
"Columbus, OH","Tampa, FL (Metropolitan Area)",2023,2,195.35
"San Francisco, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2023,2,364.44
"Minneapolis/St. Paul, MN","Portland, OR",2023,2,311.25
"Nashville, TN","Raleigh/Durham, NC",2023,2,200.81
"Boston, MA (Metropolitan Area)","Savannah, GA",2023,2,244.13
"Boston, MA (Metropolitan Area)","Kansas City, MO",2023,2,229.01
"Louisville, KY","New York City, NY (Metropolitan Area)",2023,2,252.48
"Houston, TX","Kansas City, MO",2023,2,241.65
"Philadelphia, PA","San Diego, CA",2023,2,371.13
"Milwaukee, WI","Phoenix, AZ",2023,2,275.48
"Los Angeles, CA (Metropolitan Area)","Memphis, TN",2023,2,245.72
"Louisville, KY","Washington, DC (Metropolitan Area)",2023,2,204.9
"Buffalo, NY","Miami, FL (Metropolitan Area)",2023,2,196.22
"Charlotte, NC","Detroit, MI",2023,2,258.5
"Las Vegas, NV","Pittsburgh, PA",2023,2,267.42
"Minneapolis/St. Paul, MN","Philadelphia, PA",2023,2,296.69
"Cleveland, OH (Metropolitan Area)","Washington, DC (Metropolitan Area)",2023,2,203.77
"Phoenix, AZ","San Antonio, TX",2023,2,231.13
"Dallas/Fort Worth, TX","Memphis, TN",2023,2,203.1
"Denver, CO","Milwaukee, WI",2023,2,213.14
"Seattle, WA","St. Louis, MO",2023,2,296.7
"Boston, MA (Metropolitan Area)","Myrtle Beach, SC",2023,2,166.15
"Charlotte, NC","Minneapolis/St. Paul, MN",2023,2,272.14
"Miami, FL (Metropolitan Area)","Richmond, VA",2023,2,180.35
"Albuquerque, NM","Phoenix, AZ",2023,2,190.8
"Kansas City, MO","Seattle, WA",2023,2,286.7
"Atlanta, GA (Metropolitan Area)","Milwaukee, WI",2023,2,222.9
"Charleston, SC","Philadelphia, PA",2023,2,192.9
"Denver, CO","Pittsburgh, PA",2023,2,268.46
"Philadelphia, PA","Raleigh/Durham, NC",2023,2,217.8
"Boise, ID","Phoenix, AZ",2023,2,191.29
"Columbus, OH","Las Vegas, NV",2023,2,265.02
"New Orleans, LA","Seattle, WA",2023,2,319.14
"Hartford, CT","Los Angeles, CA (Metropolitan Area)",2023,2,337.0
"Raleigh/Durham, NC","Seattle, WA",2023,2,371.13
"Jacksonville, FL","Philadelphia, PA",2023,2,220.5
"Austin, TX","Raleigh/Durham, NC",2023,2,229.38
"Dallas/Fort Worth, TX","Jacksonville, FL",2023,2,264.75
"Austin, TX","Minneapolis/St. Paul, MN",2023,2,260.33
"Columbus, OH","Denver, CO",2023,2,243.7
"Boston, MA (Metropolitan Area)","Columbus, OH",2023,2,258.25
"New York City, NY (Metropolitan Area)","Portland, ME",2023,2,184.43
"Denver, CO","Omaha, NE",2023,2,168.98
"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)",2023,2,218.55
"St. Louis, MO","Tampa, FL (Metropolitan Area)",2023,2,211.09
"Austin, TX","New Orleans, LA",2023,2,165.13
"Minneapolis/St. Paul, MN","St. Louis, MO",2023,2,201.85
"Houston, TX","Oklahoma City, OK",2023,2,210.59
"Houston, TX","Pittsburgh, PA",2023,2,260.95
"Los Angeles, CA (Metropolitan Area)","Omaha, NE",2023,2,260.82
"Orlando, FL","Syracuse, NY",2023,2,180.22
"Louisville, KY","Orlando, FL",2023,2,173.76
"New Orleans, LA","Philadelphia, PA",2023,2,273.05
"Los Angeles, CA (Metropolitan Area)","Santa Rosa, CA",2023,2,154.2
"Cleveland, OH (Metropolitan Area)","Houston, TX",2023,2,246.52
"Chicago, IL","Omaha, NE",2023,2,200.09
"Houston, TX","Raleigh/Durham, NC",2023,2,280.22
"Atlanta, GA (Metropolitan Area)","Jacksonville, FL",2023,2,220.99
"Albuquerque, NM","Las Vegas, NV",2023,2,159.27
"Orlando, FL","Portland, OR",2023,2,312.34
"Phoenix, AZ","Spokane, WA",2023,2,234.31
"Memphis, TN","Orlando, FL",2023,2,178.71
"Kansas City, MO","Tampa, FL (Metropolitan Area)",2023,2,215.73
"San Antonio, TX","Seattle, WA",2023,2,272.74
"Chicago, IL","Savannah, GA",2023,2,231.79
"Buffalo, NY","Tampa, FL (Metropolitan Area)",2023,2,198.85
"Portland, ME","Washington, DC (Metropolitan Area)",2023,2,220.55
"Cincinnati, OH","Dallas/Fort Worth, TX",2023,2,273.43
"Orlando, FL","Rochester, NY",2023,2,169.32
"Phoenix, AZ","Raleigh/Durham, NC",2023,2,309.67
"Albuquerque, NM","Dallas/Fort Worth, TX",2023,2,225.44
"Cleveland, OH (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2023,2,332.12
"Kansas City, MO","San Francisco, CA (Metropolitan Area)",2023,2,311.9
"New York City, NY (Metropolitan Area)","Wilmington, NC",2023,2,200.04
"Indianapolis, IN","San Francisco, CA (Metropolitan Area)",2023,2,340.95
"Chicago, IL","Memphis, TN",2023,2,213.17
"Austin, TX","Portland, OR",2023,2,248.99
"Chicago, IL","Sarasota/Bradenton, FL",2023,2,247.14
"New Orleans, LA","Tampa, FL (Metropolitan Area)",2023,2,158.21
"Chicago, IL","Cincinnati, OH",2023,2,201.86
"Boston, MA (Metropolitan Area)","Sarasota/Bradenton, FL",2023,2,244.99
"Houston, TX","Tulsa, OK",2023,2,210.78
"Albuquerque, NM","San Francisco, CA (Metropolitan Area)",2023,2,248.37
"Columbus, OH","Phoenix, AZ",2023,2,303.96
"Albuquerque, NM","New York City, NY (Metropolitan Area)",2023,2,288.66
"Nashville, TN","San Diego, CA",2023,2,333.39
"Dallas/Fort Worth, TX","Milwaukee, WI",2023,2,257.48
"Austin, TX","Tampa, FL (Metropolitan Area)",2023,2,221.2
"Phoenix, AZ","Reno, NV",2023,2,223.97
"Chicago, IL","Richmond, VA",2023,2,237.2
"Houston, TX","Indianapolis, IN",2023,2,270.11
"Boston, MA (Metropolitan Area)","Milwaukee, WI",2023,2,211.19
"Memphis, TN","Washington, DC (Metropolitan Area)",2023,2,272.53
"San Francisco, CA (Metropolitan Area)","Spokane, WA",2023,2,187.25
"Houston, TX","Portland, OR",2023,2,316.23
"Allentown/Bethlehem/Easton, PA","Sanford, FL",2023,2,109.7
"Charleston, SC","Miami, FL (Metropolitan Area)",2023,2,148.23
"Cincinnati, OH","Phoenix, AZ",2023,2,257.89
"Denver, CO","Oklahoma City, OK",2023,2,183.92
"Jacksonville, FL","Miami, FL (Metropolitan Area)",2023,2,181.31
"Kansas City, MO","Miami, FL (Metropolitan Area)",2023,2,289.64
"Chicago, IL","Norfolk, VA (Metropolitan Area)",2023,2,220.44
"Los Angeles, CA (Metropolitan Area)","Louisville, KY",2023,2,243.38
"San Francisco, CA (Metropolitan Area)","St. Louis, MO",2023,2,322.95
"Omaha, NE","Washington, DC (Metropolitan Area)",2023,2,273.44
"Atlanta, GA (Metropolitan Area)","Memphis, TN",2023,2,206.61
"El Paso, TX","Houston, TX",2023,2,229.26
"Atlanta, GA (Metropolitan Area)","Portland, OR",2023,2,371.13
"Atlanta, GA (Metropolitan Area)","Fort Myers, FL",2023,2,223.67
"Boston, MA (Metropolitan Area)","San Antonio, TX",2023,2,258.85
"Las Vegas, NV","Omaha, NE",2023,2,207.67
"Denver, CO","Jacksonville, FL",2023,2,251.4
"Charlotte, NC","Seattle, WA",2023,2,371.13
"Miami, FL (Metropolitan Area)","San Antonio, TX",2023,2,231.95
"Columbus, OH","Houston, TX",2023,2,259.29
"New Haven, CT","Orlando, FL",2023,2,119.59
"Indianapolis, IN","Seattle, WA",2023,2,297.56
"Sacramento, CA","Salt Lake City, UT",2023,2,217.38
"Norfolk, VA (Metropolitan Area)","Orlando, FL",2023,2,167.91
"Los Angeles, CA (Metropolitan Area)","Oklahoma City, OK",2023,2,330.2
"Dallas/Fort Worth, TX","Louisville, KY",2023,2,241.35
"Dallas/Fort Worth, TX","Omaha, NE",2023,2,237.14
"Louisville, KY","Miami, FL (Metropolitan Area)",2023,2,191.36
"Albuquerque, NM","Washington, DC (Metropolitan Area)",2023,2,347.64
"Minneapolis/St. Paul, MN","Raleigh/Durham, NC",2023,2,282.21
"Miami, FL (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2023,2,192.58
"Atlanta, GA (Metropolitan Area)","Nashville, TN",2023,2,217.46
"Austin, TX","St. Louis, MO",2023,2,189.89
"Denver, CO","Grand Rapids, MI",2023,2,215.52
"Las Vegas, NV","Memphis, TN",2023,2,182.36
"San Antonio, TX","San Francisco, CA (Metropolitan Area)",2023,2,262.76
"Louisville, KY","Tampa, FL (Metropolitan Area)",2023,2,169.24
"Birmingham, AL","Dallas/Fort Worth, TX",2023,2,237.66
"Boise, ID","Las Vegas, NV",2023,2,155.69
"Oklahoma City, OK","Washington, DC (Metropolitan Area)",2023,2,276.57
"Austin, TX","Salt Lake City, UT",2023,2,254.99
"Charleston, SC","Los Angeles, CA (Metropolitan Area)",2023,2,298.6
"Colorado Springs, CO","Dallas/Fort Worth, TX",2023,2,190.79
"Philadelphia, PA","St. Louis, MO",2023,2,268.48
"Charlotte, NC","San Diego, CA",2023,2,371.13
"Minneapolis/St. Paul, MN","Salt Lake City, UT",2023,2,334.53
"Atlantic City, NJ","Orlando, FL",2023,2,107.79
"Austin, TX","Indianapolis, IN",2023,2,190.12
"Austin, TX","El Paso, TX",2023,2,176.84
"Jacksonville, FL","Los Angeles, CA (Metropolitan Area)",2023,2,332.73
"Detroit, MI","New Orleans, LA",2023,2,239.44
"Pittsburgh, PA","San Francisco, CA (Metropolitan Area)",2023,2,356.56
"Atlanta, GA (Metropolitan Area)","Cincinnati, OH",2023,2,255.13
"Asheville, NC","New York City, NY (Metropolitan Area)",2023,2,217.24
"Cincinnati, OH","Seattle, WA",2023,2,314.93
"Fresno, CA","Las Vegas, NV",2023,2,119.71
"Buffalo, NY","Washington, DC (Metropolitan Area)",2023,2,198.99
"Detroit, MI","Raleigh/Durham, NC",2023,2,247.39
"El Paso, TX","Las Vegas, NV",2023,2,177.95
"Austin, TX","Philadelphia, PA",2023,2,370.54
"Houston, TX","Memphis, TN",2023,2,209.85
"Albuquerque, NM","Denver, CO",2023,2,175.99
"Los Angeles, CA (Metropolitan Area)","Tulsa, OK",2023,2,256.92
"Des Moines, IA","Phoenix, AZ",2023,2,218.61
"Denver, CO","Fort Myers, FL",2023,2,281.67
"Denver, CO","Tucson, AZ",2023,2,216.15
"Nashville, TN","New Orleans, LA",2023,2,221.28
"Bellingham, WA","Las Vegas, NV",2023,2,110.94
"Seattle, WA","Tucson, AZ",2023,2,247.42
"Cincinnati, OH","Houston, TX",2023,2,244.34
"Charleston, SC","Dallas/Fort Worth, TX",2023,2,271.64
"Las Vegas, NV","Richmond, VA",2023,2,219.36
"Charlotte, NC","St. Louis, MO",2023,2,216.78
"Atlanta, GA (Metropolitan Area)","Charlotte, NC",2023,2,264.14
"Huntsville, AL","Washington, DC (Metropolitan Area)",2023,2,290.85
"Cincinnati, OH","Fort Myers, FL",2023,2,162.18
"New Orleans, LA","Phoenix, AZ",2023,2,291.48
"Austin, TX","Kansas City, MO",2023,2,188.62
"Chicago, IL","Myrtle Beach, SC",2023,2,184.54
"Birmingham, AL","Washington, DC (Metropolitan Area)",2023,2,262.53
"Reno, NV","Seattle, WA",2023,2,202.08
"Boise, ID","Denver, CO",2023,2,237.16
"Detroit, MI","St. Louis, MO",2023,2,207.67
"Austin, TX","Charlotte, NC",2023,2,320.51
"Boston, MA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2023,2,205.48
"Denver, CO","Des Moines, IA",2023,2,166.97
"Birmingham, AL","Orlando, FL",2023,2,192.81
"Las Vegas, NV","Oklahoma City, OK",2023,2,209.94
"Phoenix, AZ","Pittsburgh, PA",2023,2,337.88
"Omaha, NE","Orlando, FL",2023,2,254.06
"Columbus, OH","San Francisco, CA (Metropolitan Area)",2023,2,345.51
"Jacksonville, FL","Nashville, TN",2023,2,184.19
"Grand Rapids, MI","New York City, NY (Metropolitan Area)",2023,2,251.28
"Atlanta, GA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2023,2,278.34
"New York City, NY (Metropolitan Area)","Omaha, NE",2023,2,339.96
"Las Vegas, NV","Spokane, WA",2023,2,209.0
"Boise, ID","Portland, OR",2023,2,200.1
"Portland, OR","Seattle, WA",2023,2,201.15
"Charlotte, NC","Cleveland, OH (Metropolitan Area)",2023,2,236.89
"Eugene, OR","San Francisco, CA (Metropolitan Area)",2023,2,160.21
"Kansas City, MO","Nashville, TN",2023,2,218.01
"Atlanta, GA (Metropolitan Area)","Sacramento, CA",2023,2,371.13
"Boston, MA (Metropolitan Area)","Buffalo, NY",2023,2,185.43
"Kansas City, MO","San Diego, CA",2023,2,265.53
"Memphis, TN","Miami, FL (Metropolitan Area)",2023,2,236.64
"Fort Myers, FL","Indianapolis, IN",2023,2,216.91
"Dallas/Fort Worth, TX","Norfolk, VA (Metropolitan Area)",2023,2,283.05
"Columbus, OH","Seattle, WA",2023,2,294.4
"Cleveland, OH (Metropolitan Area)","Seattle, WA",2023,2,309.86
"Reno, NV","San Diego, CA",2023,2,209.3
"Albuquerque, NM","Seattle, WA",2023,2,239.28
"Chicago, IL","West Palm Beach/Palm Beach, FL",2023,2,318.82
"Denver, CO","Reno, NV",2023,2,263.73
"Nashville, TN","Pittsburgh, PA",2023,2,187.37
"Los Angeles, CA (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2023,2,371.13
"Denver, CO","Hartford, CT",2023,2,315.37
"Dallas/Fort Worth, TX","Panama City, FL",2023,2,235.42
"San Francisco, CA (Metropolitan Area)","Tucson, AZ",2023,2,239.4
"Milwaukee, WI","Tampa, FL (Metropolitan Area)",2023,2,244.62
